date,route,delivered_qty,transport_cost,on_time_rate
2025-08-06,NORTE,188,904.43,1.0
2025-08-06,CENTRO,256,759.67,0.811
2025-08-06,SUR,328,808.88,0.901
2025-08-07,NORTE,198,829.71,0.888
2025-08-07,CENTRO,171,717.97,0.897
2025-08-07,SUR,172,693.07,0.909
2025-08-08,NORTE,187,1025.6,0.688
2025-08-08,CENTRO,254,986.91,0.734
2025-08-08,SUR,182,744.28,0.787
2025-08-09,NORTE,161,633.41,1.0
2025-08-09,CENTRO,246,990.73,0.958
2025-08-09,SUR,143,721.32,0.939
2025-08-10,NORTE,138,906.95,0.881
2025-08-10,CENTRO,181,906.64,0.936
2025-08-10,SUR,181,973.9,0.814
2025-08-11,NORTE,230,888.97,0.875
2025-08-11,CENTRO,216,612.33,0.974
2025-08-11,SUR,190,721.59,0.984
2025-08-12,NORTE,164,588.73,0.775
2025-08-12,CENTRO,230,607.94,1.0
2025-08-12,SUR,95,1054.47,0.917
2025-08-13,NORTE,195,718.26,0.932
2025-08-13,CENTRO,198,965.5,0.909
2025-08-13,SUR,207,745.46,0.895
2025-08-14,NORTE,215,543.47,0.792
2025-08-14,CENTRO,237,825.63,0.885
2025-08-14,SUR,200,852.14,0.857
2025-08-15,NORTE,161,829.38,0.822
2025-08-15,CENTRO,220,544.61,0.982
2025-08-15,SUR,223,838.4,0.979
2025-08-16,NORTE,283,952.16,0.753
2025-08-16,CENTRO,136,706.28,0.902
2025-08-16,SUR,225,691.14,0.915
2025-08-17,NORTE,162,708.27,0.787
2025-08-17,CENTRO,153,597.25,0.822
2025-08-17,SUR,252,657.59,1.0
2025-08-18,NORTE,224,827.73,0.831
2025-08-18,CENTRO,235,713.65,0.91
2025-08-18,SUR,328,785.59,0.992
2025-08-19,NORTE,164,794.75,1.0
2025-08-19,CENTRO,168,1071.87,0.957
2025-08-19,SUR,171,894.86,0.978
2025-08-20,NORTE,231,564.47,0.842
2025-08-20,CENTRO,187,788.83,0.95
2025-08-20,SUR,208,599.7,0.93
2025-08-21,NORTE,230,883.97,0.986
2025-08-21,CENTRO,241,868.88,0.894
2025-08-21,SUR,116,864.44,0.917
2025-08-22,NORTE,213,608.49,0.814
2025-08-22,CENTRO,252,794.07,0.955
2025-08-22,SUR,201,804.46,0.975
2025-08-23,NORTE,174,814.42,0.863
2025-08-23,CENTRO,178,753.62,0.918
2025-08-23,SUR,176,988.36,0.828
2025-08-24,NORTE,190,734.04,1.0
2025-08-24,CENTRO,209,954.78,0.781
2025-08-24,SUR,213,933.44,0.907
2025-08-25,NORTE,253,722.41,1.0
2025-08-25,CENTRO,314,745.57,0.864
2025-08-25,SUR,272,1036.94,0.858
2025-08-26,NORTE,178,757.73,0.792
2025-08-26,CENTRO,154,649.38,0.839
2025-08-26,SUR,198,835.13,1.0
2025-08-27,NORTE,150,947.65,0.883
2025-08-27,CENTRO,197,901.22,0.81
2025-08-27,SUR,219,824.97,0.939
2025-08-28,NORTE,214,1168.3,0.849
2025-08-28,CENTRO,173,706.53,0.856
2025-08-28,SUR,168,978.35,1.0
2025-08-29,NORTE,171,675.15,0.938
2025-08-29,CENTRO,172,894.94,0.916
2025-08-29,SUR,124,1032.13,1.0
2025-08-30,NORTE,169,741.84,0.923
2025-08-30,CENTRO,216,898.78,1.0
2025-08-30,SUR,191,680.26,0.79
